condition,dataset,accuracy,correct,total_acc,refusal_rate,refusals,total_rr,citation_coverage
baseline,MedQA-US,0.8174,188,230,0.0,0,250,
baseline,PubMedQA,0.224,56,250,0.0,0,250,
baseline,BioASQ,,,,0.0,0,136,
baseline,MediQA,,,,0.036,9,250,
cot,MedQA-US,0.8783,202,230,0.004,1,250,
cot,PubMedQA,0.252,63,250,0.0,0,250,
cot,BioASQ,,,,0.0,0,136,
cot,MediQA,,,,0.032,8,250,
meta,MedQA-US,0.7609,175,230,0.0,0,250,
meta,PubMedQA,0.224,56,250,0.0,0,250,
meta,BioASQ,,,,0.0,0,136,
meta,MediQA,,,,0.08,20,250,
medrag,MedQA-US,0.8174,188,230,0.0,0,250,0.892
medrag,PubMedQA,0.64,160,250,0.0,0,250,1.0
medrag,BioASQ,,,,0.0,0,136,1.0
medrag,MediQA,,,,0.0,0,250,0.9851
medrag_fixed_k,MedQA-US,0.8174,188,230,0.0,0,250,0.893
medrag_fixed_k,PubMedQA,0.64,160,250,0.0,0,250,1.0
medrag_fixed_k,BioASQ,,,,0.0,0,136,0.998
medrag_fixed_k,MediQA,,,,0.0,0,250,0.9878
