condition,dataset,hallucination_rate,support_rate,hallucinated,supported,unverifiable,total
baseline,MedQA-US,0.168,0.812,42,203,1,250
baseline,PubMedQA,0.42,0.508,105,127,17,250
baseline,BioASQ,0.0882,0.875,12,119,4,136
baseline,MediQA,0.024,0.592,6,148,93,250
cot,MedQA-US,0.096,0.604,24,151,40,250
cot,PubMedQA,0.204,0.392,51,98,101,250
cot,BioASQ,0.0147,0.6691,2,91,43,136
cot,MediQA,0.008,0.588,2,147,96,250
medrag,MedQA-US,0.18,0.812,45,203,0,250
medrag,PubMedQA,0.176,0.788,44,197,9,250
medrag,BioASQ,0.0809,0.8824,11,120,5,136
medrag,MediQA,0.06,0.52,15,130,100,250
medrag_fixed_k,MedQA-US,0.172,0.812,43,203,0,250
medrag_fixed_k,PubMedQA,0.188,0.78,47,195,8,250
medrag_fixed_k,BioASQ,0.0588,0.8971,8,122,6,136
medrag_fixed_k,MediQA,0.048,0.544,12,136,98,250
meta,MedQA-US,0.172,0.816,43,204,1,250
meta,PubMedQA,0.42,0.496,105,124,19,250
meta,BioASQ,0.0882,0.875,12,119,5,136
meta,MediQA,0.02,0.584,5,146,91,250
